"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"AD1"	"AD4"	"AD5"	"AD6"	"AD7"	"AD8"	"AP2"	"AP3"	"AP4"	"AP5"	"AP6"	"AP7"	"CON1"	"CON3"	"CON4"	"CON5"	"CON6"	"CON8"
"d__Bacteria"	" p__Firmicutes"	" c__Bacilli"	" o__Lactobacillales"	" f__Lactobacillaceae"	" g__Lactobacillus"	" s__Lactobacillus_intestinalis"	0.00626304801670146	0.000227998176014592	0.00218257733915354	0.00434948492941625	0.0029603315571344	0.00347890451517395	0.0469103240391861	0.0260696750058452	0.0360220026286326	0.0248036378668871	0.0801354401805869	0.0321560358460727	0.00541342232109752	0	0.23030467530705	0.0757955895946124	0.0781655610037496	0.00353316179576789
"d__Bacteria"	" p__Firmicutes"	" c__Bacilli"	" o__Bacillales"	" f__Bacillaceae"	" g__Bacillus"	" s__Lactobacillus_vaginalis"	0	0	0	0	0	0	0	0	0	0	0.000429968827260024	0	0	0	0.000407138494944697	0.000528192261983362	0	0
"d__Bacteria"	" p__Firmicutes"	" c__Bacilli"	" o__Lactobacillales"	" f__Lactobacillaceae"	" g__Lactobacillus"	" s__gut_metagenome"	0	0	0	0	0	0	0	0	0	0	0	0.000225920626553204	0	0	0	0	0	0
"d__Bacteria"	" p__Actinobacteriota"	" c__Coriobacteriia"	" o__Coriobacteriales"	" f__Atopobiaceae"	" g__Coriobacteriaceae_UCG-002"	" s__uncultured_bacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000678564158241162	0.000726264360227123	0	0
"d__Bacteria"	" p__Proteobacteria"	" c__Gammaproteobacteria"	" o__Burkholderiales"	" f__Sutterellaceae"	" g__Parasutterella"	" s__uncultured_bacterium"	0	0	0	0.00144982830980542	0.00108545490428261	0	0.000627982918864607	0	0.000292070291583508	0.00112206933207347	0	0.000677761879659613	0	0	0	0	0	0
"d__Bacteria"	" p__Deferribacterota"	" c__Deferribacteres"	" o__Deferribacterales"	" f__Deferribacteraceae"	" g__Mucispirillum"	" s__Mucispirillum_schaedleri"	0.00699655814478361	0	0.000948946669197191	0	0.00029603315571344	0	0.000627982918864607	0	0.000924889256681108	0.00053150652571901	0.000376222723852521	0.00286166126967392	0.0136447905079718	0.000717231486462256	0.0149284114813056	0.00785685989700251	0.00158638592443034	0.00791121010791505
"d__Bacteria"	" p__Campilobacterota"	" c__Campylobacteria"	" o__Campylobacterales"	" f__Helicobacteraceae"	" g__Helicobacter"	" s__Helicobacter_marmotae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000264096130991681	0	0
"d__Bacteria"	" p__Desulfobacterota"	" c__Desulfovibrionia"	" o__Desulfovibrionales"	" f__Desulfovibrionaceae"	" g__uncultured"	" s__uncultured_Desulfovibrionales"	0	0	0.000854052002277472	0	0	0	0	0	0.000340748673514092	0	0	0.000677761879659613	0.000593251761216166	0	0.000746420574065278	0	0.000288433804441881	0.000422443258189639
"d__Bacteria"	" p__Desulfobacterota"	" c__Desulfovibrionia"	" o__Desulfovibrionales"	" f__Desulfovibrionaceae"	" g__Desulfovibrio"	" s__uncultured_bacterium"	0	0	0.00488707534636553	0.0167874856924838	0.000789421748569173	0.00266469282013323	0	0.00298106149169979	0.0018984568952928	0	0.00139739868859508	0.00828375630695082	0.00385613644790508	0.000851712390173929	0.011671303521748	0.000924336458470883	0.00288433804441881	0.0034563539306425
"d__Bacteria"	" p__Firmicutes"	" c__Clostridia"	" o__Oscillospirales"	" f__UCG-010"	" g__UCG-010"	" s__uncultured_organism"	0	0	0	0	0.000493388592855733	0.000222057735011103	0	0	0	0.00053150652571901	0	0	0	0	0.000339282079120581	0	0	0
